title,views,link,thumbnail_link
"Trying to enter ""Mini-America"" of Africa! 🇸🇱🇱🇷",296K views,/watch?v=11Uj4QTYriA,https://i.ytimg.com/vi/11Uj4QTYriA/hqdefault.jpg
Confronted by Locals in Sierra Leone! 🇸🇱,374K views,/watch?v=shwLKL7Wd6k,https://i.ytimg.com/vi/shwLKL7Wd6k/hqdefault.jpg
Crazy Bus Journeys of Sierra Leone: Freetown to Bo! 🇸🇱,457K views,/watch?v=ZTmf6eo55NM,https://i.ytimg.com/vi/ZTmf6eo55NM/hqdefault.jpg
How INDIA HELPED AFRICANS? 🇮🇳❤️🇸🇱,677K views,/watch?v=_cOCJui_k7M,https://i.ytimg.com/vi/_cOCJui_k7M/hqdefault.jpg
Country of Blood Diamond & Freed Slaves: Sierra Leone! 🇸🇱 (My favourite country in West Africa!),505K views,/watch?v=F86RIjVaIFc,https://i.ytimg.com/vi/F86RIjVaIFc/hqdefault.jpg
Overwhelmed by the PEOPLE of Sierra Leone! 🇸🇱,723K views,/watch?v=jVrFcl_23OY,https://i.ytimg.com/vi/jVrFcl_23OY/hqdefault.jpg
Traveling to the Country of Diamond Mines! 💎🇸🇱,846K views,/watch?v=hXm8RkTsZZU,https://i.ytimg.com/vi/hXm8RkTsZZU/hqdefault.jpg
FREE Europe Trip for Cancelled Flight! 🇧🇪🇨🇭🇸🇱,566K views,/watch?v=uhgI_KudGOQ,https://i.ytimg.com/vi/uhgI_KudGOQ/hqdefault.jpg
Flying back to India after Visiting 81 Countries!,503K views,/watch?v=np7fn2huStw,https://i.ytimg.com/vi/np7fn2huStw/hqdefault.jpg
Why no one visits this country in West Africa? 🇬🇳,480K views,/watch?v=EB4qZXmbEUI,https://i.ytimg.com/vi/EB4qZXmbEUI/hqdefault.jpg
Flying to West Africa's Least Visited Country: Guinea! 🇬🇳,915K views,/watch?v=ikTgov1iC7c,https://i.ytimg.com/vi/ikTgov1iC7c/hqdefault.jpg
Fight b/w Passengers & Airport Staff in Africa: Bissau to Dakar! 🇬🇼🇸🇳,888K views,/watch?v=bjb35e6cMB0,https://i.ytimg.com/vi/bjb35e6cMB0/hqdefault.jpg
Portuguese Country in Africa with NO Electricity: GUINEA BISSAU! 🇬🇼,1M views,/watch?v=uSjXd6GrNqU,https://i.ytimg.com/vi/uSjXd6GrNqU/hqdefault.jpg
Exposing the WORST Border-Crossings of West-Africa!,1.1M views,/watch?v=Bb9SJSEDKuk,https://i.ytimg.com/vi/Bb9SJSEDKuk/hqdefault.jpg
"Local Markets of Mainland Africa's SMALLEST Country, the Gambia! 🇬🇲",733K views,/watch?v=Qxjm8wCg5tQ,https://i.ytimg.com/vi/Qxjm8wCg5tQ/hqdefault.jpg
Life in Gambia: Africa’s Smiling Coast! 🇬🇲,617K views,/watch?v=S3sfAW37rQA,https://i.ytimg.com/vi/S3sfAW37rQA/hqdefault.jpg
Inside the Dark Reality of Gambia's S*x Tourism! 🇬🇲,5.4M views,/watch?v=e9DqHA94cRQ,https://i.ytimg.com/vi/e9DqHA94cRQ/hqdefault.jpg
Traveling to Smiling Coast of Africa: The Gambia!🇬🇲,508K views,/watch?v=EnvJWvOuUBI,https://i.ytimg.com/vi/EnvJWvOuUBI/hqdefault.jpg
"Bizarre Nightlife of Bamako, Mali! 🇲🇱",706K views,/watch?v=5K5fSFpsu3U,https://i.ytimg.com/vi/5K5fSFpsu3U/hqdefault.jpg
INSIDE THE JIHAD-CRISIS OF MALI (AFRICA)! 🇲🇱,511K views,/watch?v=dpZCGRo5Ucw,https://i.ytimg.com/vi/dpZCGRo5Ucw/hqdefault.jpg
Inside the Shocking VOODOO Market of Mali! 🇲🇱,1.8M views,/watch?v=YuRhYVfwZ9A,https://i.ytimg.com/vi/YuRhYVfwZ9A/hqdefault.jpg
Flying to the MOST CORRUPT Country in AFRICA! 🇲🇱,964K views,/watch?v=M82B4Ebgw7Q,https://i.ytimg.com/vi/M82B4Ebgw7Q/hqdefault.jpg
Inside Cape Verde's Oldest Settlement: Cidade Velha! 🇨🇻,518K views,/watch?v=0rztaqrzHpg,https://i.ytimg.com/vi/0rztaqrzHpg/hqdefault.jpg
Country of Mixed Europeans in Africa: Cape Verde! 🇨🇻,906K views,/watch?v=a9UZGQALvnA,https://i.ytimg.com/vi/a9UZGQALvnA/hqdefault.jpg
Flying to Country of Most Beautiful People: Cabo Verde! 🇨🇻,1.2M views,/watch?v=FzJ-poGOkp0,https://i.ytimg.com/vi/FzJ-poGOkp0/hqdefault.jpg
"Inside Africa's Most Expensive City: Dakar, Senegal! 🇸🇳",768K views,/watch?v=MQtxK5FuKO4,https://i.ytimg.com/vi/MQtxK5FuKO4/hqdefault.jpg
Traveling to Africa's Most Expensive City! Mauritania to Senegal by Land! 🇲🇷🇸🇳,648K views,/watch?v=USkKIxlX5KE,https://i.ytimg.com/vi/USkKIxlX5KE/hqdefault.jpg
"Life in Africa's STRANGEST Capital: Nouakchott, Mauritania! 🇲🇷",694K views,/watch?v=jSdxCmc_TuQ,https://i.ytimg.com/vi/jSdxCmc_TuQ/hqdefault.jpg
Extreme Journey in Africa's Sahara Desert! 🇲🇷 Choum to Nouakchott,897K views,/watch?v=jn4by1d11yk,https://i.ytimg.com/vi/jn4by1d11yk/hqdefault.jpg
Scariest Border-Crossing with Landmines in Sahara Desert! 🇲🇦🇲🇷,1.5M views,/watch?v=GgtMLzFt9P0,https://i.ytimg.com/vi/GgtMLzFt9P0/hqdefault.jpg
Almost DIED on the World's Worst Train in Sahara Desert! 🇲🇷,3.4M views,/watch?v=wjWcdOusmC8,https://i.ytimg.com/vi/wjWcdOusmC8/hqdefault.jpg
Surviving the World's Deadliest Train Journey in Sahara Desert! 🇲🇷,2.4M views,/watch?v=B7C7kLR75ME,https://i.ytimg.com/vi/B7C7kLR75ME/hqdefault.jpg
First Impressions of Mauritania 🇲🇷 Indian YouTubers are BANNED here!,1.3M views,/watch?v=ArMnT4yzujk,https://i.ytimg.com/vi/ArMnT4yzujk/hqdefault.jpg
Inside World’s Least Densely Populated Region: Western Sahara! (Dakhla) 🇲🇦,540K views,/watch?v=n2DbXWNYhxM,https://i.ytimg.com/vi/n2DbXWNYhxM/hqdefault.jpg
Traveling to an ISLAND in SAHARA DESERT!! 🇲🇦,546K views,/watch?v=gzCJi803m7c,https://i.ytimg.com/vi/gzCJi803m7c/hqdefault.jpg
"Inside Africa’s Most DISPUTED Territory: Laayoune, Western Sahara! 🇲🇦",902K views,/watch?v=qsuu2roRE60,https://i.ytimg.com/vi/qsuu2roRE60/hqdefault.jpg
Visiting Africa's Most Disputed Territory: Western Sahara! 🇲🇦,534K views,/watch?v=sid9FzmPWlw,https://i.ytimg.com/vi/sid9FzmPWlw/hqdefault.jpg
Life in MOROCCO after the Earthquake! 🇲🇦,602K views,/watch?v=Oonn4e2OL1c,https://i.ytimg.com/vi/Oonn4e2OL1c/hqdefault.jpg
"Visiting the World's Biggest Beer festival: Oktoberfest, Germany! 🇩🇪",1.3M views,/watch?v=-9q-W4yH1GQ,https://i.ytimg.com/vi/-9q-W4yH1GQ/hqdefault.jpg
The DISAPPEARING Country: Marshall Islands! 🇲🇭,848K views,/watch?v=jzBUL5i8-Ag,https://i.ytimg.com/vi/jzBUL5i8-Ag/hqdefault.jpg
"Visiting 5 Pacific Countries in 24 Hours by Plane! (Nauru, Marshall Islands, Kiribati, Micronesia)",455K views,/watch?v=gQ1CHeUfV3w,https://i.ytimg.com/vi/gQ1CHeUfV3w/hqdefault.jpg
Walking across an entire country on foot: Nauru! 🇳🇷,500K views,/watch?v=HwcQCGCAhms,https://i.ytimg.com/vi/HwcQCGCAhms/hqdefault.jpg
Nauru: Spending 100 Hours in a Car! 🇳🇷,522K views,/watch?v=vQgTiRDXeKQ,https://i.ytimg.com/vi/vQgTiRDXeKQ/hqdefault.jpg
How did World's Richest Country become the POOREST? 🇳🇷,2.2M views,/watch?v=ViilO0CgdaE,https://i.ytimg.com/vi/ViilO0CgdaE/hqdefault.jpg
Traveling to World's MOST CORRUPT Country: NAURU (Richest to Poorest!) 🇳🇷,1.2M views,/watch?v=MUXd1BXTQ-Y,https://i.ytimg.com/vi/MUXd1BXTQ-Y/hqdefault.jpg
Tonga Kingdom: Pacific's only Monarchy! 🇹🇴 Flying to Fiji 🇫🇯,513K views,/watch?v=8g22LD8fqcg,https://i.ytimg.com/vi/8g22LD8fqcg/hqdefault.jpg
Scariest Experience in Oceania's ONLY Monarchy: TONGA! 🇹🇴,2M views,/watch?v=lN7icHQDf8w,https://i.ytimg.com/vi/lN7icHQDf8w/hqdefault.jpg
Inside the World's Most OBESE Country: SAMOA! 🇼🇸,646K views,/watch?v=Ho4vYsA8Z6g,https://i.ytimg.com/vi/Ho4vYsA8Z6g/hqdefault.jpg
Traveling to World's FATTEST Country: SAMOA! 🇼🇸,1.2M views,/watch?v=9cnn2eObRbk,https://i.ytimg.com/vi/9cnn2eObRbk/hqdefault.jpg
Inside the Sinking 🏝 Country: TUVALU! 🇹🇻 (World's Least Visited Nation!),2.3M views,/watch?v=62ezZfUxcLs,https://i.ytimg.com/vi/62ezZfUxcLs/hqdefault.jpg
Inside the World's LEAST Visited Country: TUVALU! 🇹🇻,1M views,/watch?v=4sW2yD-AcGI,https://i.ytimg.com/vi/4sW2yD-AcGI/hqdefault.jpg
Traveling to the LEAST VISITED COUNTRY IN THE WORLD! 🇹🇻,395K views,/watch?v=KKjrzzOA_vc,https://i.ytimg.com/vi/KKjrzzOA_vc/hqdefault.jpg
"FIJI: This Country is called ""MINI INDIA""!! How Fijians treat Indian Tourist? 🇫🇯🇮🇳",2M views,/watch?v=a49lAECjyQ4,https://i.ytimg.com/vi/a49lAECjyQ4/hqdefault.jpg
Traveling to Mini India: FIJI 🇫🇯 from VANUATU! 🇻🇺,548K views,/watch?v=4iUbUlYnAJ8,https://i.ytimg.com/vi/4iUbUlYnAJ8/hqdefault.jpg
Traveling to VANUATU 🇻🇺 from SOLOMON ISLANDS! 🇸🇧,331K views,/watch?v=-B4RbpO-15c,https://i.ytimg.com/vi/-B4RbpO-15c/hqdefault.jpg
Traveling to Country of Earthquakes and NO Military: Solomon Islands! 🇸🇧,810K views,/watch?v=hXtu2bQIhp8,https://i.ytimg.com/vi/hXtu2bQIhp8/hqdefault.jpg
Inside The World's Worst Rated Capital City: Port Moresby 🇵🇬,841K views,/watch?v=N1jCJvymaWs,https://i.ytimg.com/vi/N1jCJvymaWs/hqdefault.jpg
Inside World's Most Violent City: PORT MORESBY 🇵🇬,1.6M views,/watch?v=5d0roL7Y47E,https://i.ytimg.com/vi/5d0roL7Y47E/hqdefault.jpg
"Traveling to World's Most Dangerous City: Port Moresby, Papua New Guinea! 🇵🇬",1M views,/watch?v=dlzRnM78IKM,https://i.ytimg.com/vi/dlzRnM78IKM/hqdefault.jpg
Flying an Airplane across WORLD'S MOST SECRET COUNTRY! Palau 🇵🇼,414K views,/watch?v=KzYzjl4KBPc,https://i.ytimg.com/vi/KzYzjl4KBPc/hqdefault.jpg
Inside the World's Most SECRET Country: Palau 🇵🇼,748K views,/watch?v=mCRUJWmgOpk,https://i.ytimg.com/vi/mCRUJWmgOpk/hqdefault.jpg
Traveling to World's Most Hidden Country: Palau 🇵🇼 | Paradise in Pacific,893K views,/watch?v=0xeMpkatiU4,https://i.ytimg.com/vi/0xeMpkatiU4/hqdefault.jpg
"Living in Desert with Arab Nomads in WADI RUM, JORDAN 🇯🇴",1.4M views,/watch?v=HdGtBOGIQRg,https://i.ytimg.com/vi/HdGtBOGIQRg/hqdefault.jpg
Living in a Car to Save Money in USA: A Day in the Life 🇺🇸,683K views,/watch?v=iMR2HIWh2i4,https://i.ytimg.com/vi/iMR2HIWh2i4/hqdefault.jpg
"NEVER DO THIS in MEDELLIN, Colombia! 🇨🇴",1.4M views,/watch?v=eB9U8eiatAQ,https://i.ytimg.com/vi/eB9U8eiatAQ/hqdefault.jpg
"Nightlife of MEDELLIN, COLOMBIA! 🇨🇴",1.6M views,/watch?v=Yzg78FkMDRM,https://i.ytimg.com/vi/Yzg78FkMDRM/hqdefault.jpg
"Deep Inside World's Most Notorious Hood: Comuna 13, Medellin 🇨🇴",1M views,/watch?v=8PEsIDwE8xQ,https://i.ytimg.com/vi/8PEsIDwE8xQ/hqdefault.jpg
Inside the Life & Prison of Colombia's Cartel King: PABLO ESCOBAR 🇨🇴,5.4M views,/watch?v=-FfqpB7B1eo,https://i.ytimg.com/vi/-FfqpB7B1eo/hqdefault.jpg
"Traveling to the City of Drugs, Crime and Women: Medellin, Colombia! 🇨🇴",616K views,/watch?v=Hs-N0vkgD1o,https://i.ytimg.com/vi/Hs-N0vkgD1o/hqdefault.jpg
Phone Snatching in Colombia's Capital: BOGOTA 🇨🇴 (BE CAREFUL!),1.2M views,/watch?v=vDhXDsqGRQ4,https://i.ytimg.com/vi/vDhXDsqGRQ4/hqdefault.jpg
Travelling to COLOMBIA! 🇨🇴 (First Day),486K views,/watch?v=mBUc3U5Jxpg,https://i.ytimg.com/vi/mBUc3U5Jxpg/hqdefault.jpg
